tpsf_id,sen_id,sen_text,sen_tu_type,sen_ts,ts_startpos,ts_endpos,sen_len,operation,sentence_segment
48,276477139015700915269477608797062343812,"Genauso wichtig ist es, wenn man versuchzu verstehen, wie jemand anderes etwas versteht.",TextUnitType.SEN,t z,40,43,88,contextual_deletion,sentence_middle
49,276477139015700915269477608797062343812,"Genauso wichtig ist es, wenn man versuchen zu verstehen, wie jemand anderes etwas versteht.",TextUnitType.SEN,en z,40,44,91,contextual_insertion,sentence_middle
50,276477139015700915269477608797062343812,"Genauso wichtig ist es, versuchen zu verstehen, wie jemand anderes etwas versteht.",TextUnitType.SEN, wenn man ,23,33,82,contextual_deletion,sentence_middle
51,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichtn",TextUnitType.SEC,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichtn",0,85,85,production,sentence_beginning
52,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterricht",TextUnitType.SEC,n,84,86,84,pre-contextual_deletion,sentence_middle
53,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, so ",TextUnitType.SEC,"en und vermitteln weiss, so ",84,113,112,production,sentence_middle
54,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, ",TextUnitType.SEC,so ,109,113,109,pre-contextual_deletion,sentence_middle
55,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ",TextUnitType.SEC,wird das Lernen einer neuen Sprache ,109,146,145,production,sentence_middle
56,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nichtextr zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ",TextUnitType.SEC,extr ,70,75,149,pre-contextual_insertion,sentence_middle
57,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache ",TextUnitType.SEC,extr ,70,75,145,pre-contextual_insertion,sentence_middle
58,276477250727410060382193615694032317572,"Denn man kann noch so gut eine Sprache beherrschen, wenn man sie nicht zu unterrichten und vermitteln weiss, wird das Lernen einer neuen Sprache extrem schwer.",TextUnitType.SEN,extrem schwer.,145,160,159,production,sentence_end
58,276477325201882823790670953625345633412,Wenn man diese wichtigen Aspekte in Angriff genommen hat,TextUnitType.SEC,Wenn man diese wichtigen Aspekte in Angriff genommen hat,0,56,56,production,sentence_beginning
59,276477325201882823790670953625345633412,Wenn man diese wichtigen  in Angriff genommen hat,TextUnitType.SEC,Aspekte ,25,33,49,production,sentence_middle
60,276477325201882823790670953625345633412,Wenn man diese wichtigen Punkte in Angriff genommen hat,TextUnitType.SEC,Punkte ,25,32,55,pre-contextual_insertion,sentence_middle
61,276477325201882823790670953625345633412,"Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration u",TextUnitType.SEC,", befindet man sich mitten in der Integration u",55,103,102,production,sentence_middle
62,276477325201882823790670953625345633412,"Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration ",TextUnitType.SEC,u,101,103,101,pre-contextual_deletion,sentence_middle
63,276477325201882823790670953625345633412,"Wenn man diese wichtigen Punkte in Angriff genommen hat, befindet man sich mitten in der Integration und damit im Prozess der Aufnahme in die Gesellschaft.",TextUnitType.SEN,und damit im Prozess der Aufnahme in die Gesellschaft.,101,156,155,production,sentence_end
63,276477386999849584916854276589626895492,"Mit diesem Studium habe ich die Chance, etwas zu ",TextUnitType.SEC,"Mit diesem Studium habe ich die Chance, etwas zu ",0,49,49,production,sentence_beginning
64,276477386999849584916854276589626895492,"Mit diesem Studium habe ich die Chance, etwas ",TextUnitType.SEC,zu ,46,50,46,pre-contextual_deletion,sentence_middle
65,276477386999849584916854276589626895492,"Mit diesem Studium habe ich die Chance, etwas das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.",TextUnitType.SEN,"das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.",46,118,117,production,sentence_end
66,276477386999849584916854276589626895492,"Mit diesem Studium habe ich die Chance, etwas, das mich bereits mein Leben lang begleitet, in meinen Beruf umzuwndeln.",TextUnitType.SEN,", ",45,47,118,contextual_insertion,sentence_middle
67,276477436913591968903386960522315607172,Vor allem möchte ich mir die Fähigkeiten und Fertigkeiten,TextUnitType.SEC,Vor allem möchte ich mir die Fähigkeiten und Fertigkeiten,0,57,57,production,sentence_beginning
68,276477436913591968903386960522315607172,Vor allem möchte ich mir Fähigkeiten und Fertigkeiten,TextUnitType.SEC, die ,24,29,53,production,sentence_middle
69,276477436913591968903386960522315607172,Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel ,TextUnitType.SEC, wie zum Beispiel ,53,72,71,production,sentence_middle
70,276477436913591968903386960522315607172,Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel,TextUnitType.SEC, ,70,72,70,pre-contextual_deletion,sentence_middle
71,276477436913591968903386960522315607172,Vor allem möchte ich mir Fähigkeiten und Fertigkeiten wie zum Beispiel das wissenschaftliche Arbeiten ,TextUnitType.SEC, das wissenschaftliche Arbeiten ,70,103,102,production,sentence_middle
72,276477436913591968903386960522315607172,"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten ",TextUnitType.SEC,", ",53,55,103,pre-contextual_insertion,sentence_middle
73,276477436913591968903386960522315607172,"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten",TextUnitType.SEC, ,102,104,102,pre-contextual_deletion,sentence_middle
74,276477436913591968903386960522315607172,"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen ",TextUnitType.SEC,", aneignen ",102,114,113,production,sentence_middle
75,276477436913591968903386960522315607172,"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen",TextUnitType.SEC, ,112,114,112,pre-contextual_deletion,sentence_middle
76,276477436913591968903386960522315607172,"Vor allem möchte ich mir Fähigkeiten und Fertigkeiten, wie zum Beispiel das wissenschaftliche Arbeiten, aneignen.",TextUnitType.SEN,.,112,114,113,production,sentence_end
76,276477585862537495720341636384942238852,"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem",TextUnitType.SEC,"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem",0,77,77,production,sentence_beginning
77,276477585862537495720341636384942238852,"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch ",TextUnitType.SEC,auf dem,70,78,70,pre-contextual_deletion,sentence_middle
78,276477585862537495720341636384942238852,"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch im Berufsleben einen bedeutenden Bereich dar.",TextUnitType.SEN,im Berufsleben einen bedeutenden Bereich dar.,70,116,115,production,sentence_end
79,276477585862537495720341636384942238852,"Diese können in einer Ausbildung nicht erlernt werden, stellen jedocheinen bedeutenden Bereich dar.",TextUnitType.SEN, im Berufsleben e,69,86,99,contextual_deletion,sentence_middle
80,276477585862537495720341636384942238852,"Diese können in einer Ausbildung nicht erlernt werden, stellen jedoch auf dem Arbeitsmarkt einen bedeutenden Bereich dar.",TextUnitType.SEN, auf dem Arbeitsmarkt e,69,92,121,contextual_insertion,sentence_middle
81,276477659544728633986175598380816051332,"Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements ",TextUnitType.SEC,"Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements ",0,93,93,production,sentence_beginning
82,276477659544728633986175598380816051332,"Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements",TextUnitType.SEC, ,92,94,92,pre-contextual_deletion,sentence_middle
83,276477659544728633986175598380816051332,"Dadurch fallen bestimmte berufliche Ziele, wie der Bereich der Forschung und des Managements, weg.",TextUnitType.SEN,", weg.",92,99,98,production,sentence_end
83,276477694405120140262484139540154199172,Ohne ein Studium kann man in diesen Arbeitsfeldern nicht arbeiten.,TextUnitType.SEN,Ohne ein Studium kann man in diesen Arbeitsfeldern nicht arbeiten.,0,66,66,production,full_sentence
83,276477695989683390547770891411033205892,"Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig ",TextUnitType.SEC,"Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig ",0,126,126,production,sentence_beginning
84,276477695989683390547770891411033205892,"Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig",TextUnitType.SEC, ,125,127,125,pre-contextual_deletion,sentence_middle
85,276477695989683390547770891411033205892,"Der Bachelor Studiengang ""Sprachliche Integration"" berücksichtigt in meinen Augen all die wichtigen Komponenten genau richtig, sodass sie letztendlich ein Ganzes ergeben.",TextUnitType.SEN,", sodass sie letztendlich ein Ganzes ergeben.",125,171,170,production,sentence_end
85,276477730850074896824079432570371353732,Die Theorie sowie der Mensch stehen im Vordergrund.,TextUnitType.SEN,Die Theorie sowie der Mensch stehen im Vordergrund.,0,51,51,production,full_sentence
98,276477730850074896824079432570371353732,Die Theorie sowie der Mensch.,TextUnitType.SEN, stehen im Vordergrund.,28,51,29,contextual_deletion,sentence_end
99,276477730850074896824079432570371353732,Die Theorie sowie der Mensch kommen nicht zu kurz.,TextUnitType.SEN, kommen nicht zu kurz.,28,50,50,contextual_insertion,sentence_end
85,276477733226919772252009560376689863812,Sprache hat mich schon immer sehr interessiert.,TextUnitType.SEN,Sprache hat mich schon immer sehr interessiert.,0,47,47,production,full_sentence
85,276477734811483022537296312247568870532,kOMM,TextUnitType.SEC,kOMM,0,4,4,production,sentence_beginning
87,276477775217845904812108484954983541892,Kommunikationsfähigkeit sowie Offenheit gehören zu meinen Stärken.,TextUnitType.SEN,Kommunikationsfähigkeit sowie Offenheit gehören zu meinen Stärken.,0,66,66,production,full_sentence
87,276477776802409155097395236825862548612,"Was mich aber am meisten Freut, ist, dass hier der Mensch se",TextUnitType.SEC,"Was mich aber am meisten Freut, ist, dass hier der Mensch se",0,60,60,production,sentence_beginning
88,276477776802409155097395236825862548612,"Was mich aber am meisten Freut, ist, dass hier der Mensch",TextUnitType.SEC, se,57,61,57,pre-contextual_deletion,sentence_middle
89,276477776802409155097395236825862548612,"Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen ",TextUnitType.SEC,", sein Wesen ",57,71,70,production,sentence_middle
90,276477776802409155097395236825862548612,"Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen",TextUnitType.SEC, ,69,71,69,pre-contextual_deletion,sentence_middle
91,276477776802409155097395236825862548612,"Was mich aber am meisten Freut, ist, dass hier der Mensch, sein Wesen, seine Herkunft und seine Kultur ebenfalls eine grosse Rolle spielen.",TextUnitType.SEN,", seine Herkunft und seine Kultur ebenfalls eine grosse Rolle spielen.",69,140,139,production,sentence_end
91,276477854446008419076446078498933877892,Ich erhoffe mir in diesem Sinn,TextUnitType.SEC,Ich erhoffe mir in diesem Sinn,0,30,30,production,sentence_beginning
92,276477854446008419076446078498933877892,Ich erhoffe mir in diesem ,TextUnitType.SEC,Sinn,26,31,26,pre-contextual_deletion,sentence_middle
93,276477854446008419076446078498933877892,Ich erhoffe mir in diesem Studiengang ,TextUnitType.SEC,Studiengang ,26,39,38,production,sentence_middle
94,276477854446008419076446078498933877892,Ich erhoffe mir in diesem Studiengang,TextUnitType.SEC, ,37,39,37,pre-contextual_deletion,sentence_middle
95,276477854446008419076446078498933877892,"Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förddern",TextUnitType.SEC,", meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förddern",37,133,132,production,sentence_middle
96,276477854446008419076446078498933877892,"Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu förd",TextUnitType.SEC,dern,128,133,128,pre-contextual_deletion,sentence_middle
97,276477854446008419076446078498933877892,"Ich erhoffe mir in diesem Studiengang, meine Sprachgewandtheit voll entfalten zu können und vor allem die Menschlichkeit zu fördern.",TextUnitType.SEN,ern.,128,133,132,production,sentence_end
97,276477989133884693325819987523649449092,Ich möchte die Welt ein wenig besser machen und den heutzutage immer grösser werdenden Defiziten und Krisen entgegenwirken.,TextUnitType.SEN,Ich möchte die Welt ein wenig besser machen und den heutzutage immer grösser werdenden Defiziten und Krisen entgegenwirken.,0,123,123,production,full_sentence
97,276477990718447943611106739394528455812,"Wenn ich Menschen durch meine berufliche Tätigkeit unterstützen und aktiv fördern kann, habe ich mein Ziel erreicht.",TextUnitType.SEN,"Wenn ich Menschen durch meine berufliche Tätigkeit unterstützen und aktiv fördern kann, habe ich mein Ziel erreicht.",0,116,116,production,full_sentence
